parameter,value,se_sa,rse_sa
Cl_pop,20.6281305031186,4.0583988788269,19.6740992995625
beta_Cl_tSCRMGDL,-0.415119026967051,0.182976017534775,44.0779645470932
V1_pop,23.8174375122612,2.25604941295401,9.4722591873815
Q_pop,23.4,,
V2_pop,13.3024298964645,3.77546353828129,28.3817585784438
omega_Cl,0.223650726673577,0.0428347089153166,19.1525015600932
omega_V1,0.299407505816694,0.0768299719171987,25.6606699647123
omega_Q,0.945784583264528,0.370211316279845,39.1433020616599
omega_V2,0.794505425945428,0.241879061899511,30.4439786061479
a,1.85844565790614,0.206515988787335,11.112296338006
