time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
31.833,0,0,0,0,All
32.5533,0,0,0,0,All
33.2735,0,0,0,0,All
33.9938,0,0,0,0,All
34.7141,0,0,0,0,All
35.4344,0,0,0,0,All
36.1546,0,0,0,0,All
36.8749,0,0,0,0,All
37.5952,0,0,0,0,All
38.3154,0,0,0,0,All
39.0357,0,0,0,0,All
39.756,0,0,0,0,All
40.4763,0,0,0,0,All
41.1965,0,0,0,0,All
41.9168,0,0,0,0,All
42.6371,0,0,0,0,All
43.3573,0,0,0,0,All
44.0776,0,0,0,0,All
44.7979,0,0,0,0,All
45.5182,0,0,0,0,All
46.2384,0,0,0,0,All
46.9587,0,0,0,0,All
47.679,0,0,0,0,All
48.3992,0,0,0,0,All
49.1195,0,0,0,0,All
49.8398,0,0,0,0,All
50.5601,0,0,0,0,All
51.2803,0,0,0,0,All
52.0006,0,0,0,0,All
52.7209,0,0,0,0,All
53.4411,0,0,0,0,All
54.1614,0,0,0,0,All
54.8817,0,0,0,0.0434783,All
55.602,0,0,0,0.0416667,All
56.3222,0,0,0,0.04,All
57.0425,0,0,0,0.04,All
57.7628,0,0,0,0.04,All
58.483,0,0,0,0.04,All
59.2033,0,0,0,0.04,All
59.9236,0,0,0,0.04,All
60.6439,0,0,0,0.04,All
61.3641,0,0,0,0.04,All
62.0844,0,0,0,0.04,All
62.8047,0,0,0,0.04,All
63.5249,0,0,0,0.04,All
64.2452,0,0,0,0.04,All
64.9655,0,0,0,0.0322581,All
65.6858,0,0,0,0.030303,All
66.406,0,0,0,0.027027,All
67.1263,0,0,0,0.027027,All
67.8466,0,0,0,0.0243902,All
68.5668,0,0,0,0.0243902,All
69.2871,0,0,0,0.0238095,All
70.0074,0,0,0,0.0217391,All
70.7277,0,0,0,0.0217391,All
71.4479,0,0,0,0.0217391,All
72.1682,0.0204082,0,0,0.0408163,All
72.8885,0.0204082,0,0,0.0408163,All
73.6087,0.0204082,0,0,0.0408163,All
74.329,0.0204082,0,0,0.0408163,All
75.0493,0.0204082,0,0,0.0408163,All
75.7696,0.0204082,0,0,0.0408163,All
76.4898,0.0204082,0,0,0.0408163,All
77.2101,0.0204082,0,0,0.0408163,All
77.9304,0.0204082,0,0,0.0408163,All
